wanikani	word	reading	sense 1	sense 2	sense 3	url
4	４０００	よんせん	four thousand, 4,000			http://jisho.org/word/%EF%BC%94%EF%BC%90%EF%BC%90%EF%BC%90
4	４００	よんひゃく	400, four hundred			http://jisho.org/word/%EF%BC%94%EF%BC%90%EF%BC%90
4	二世	にせい	nisei, second-generation Japanese (or Korean, etc.), person of Japanese parentage with non-Japanese citizenship	the second (e.g. Edward II)	son	http://jisho.org/word/%E4%BA%8C%E4%B8%96
4	早々	はやばや	early, quickly, promptly			http://jisho.org/word/%E6%97%A9%E3%80%85
4	月見	つきみ	moon viewing (esp. during the eight month of the lunar calendar)			http://jisho.org/word/%E6%9C%88%E8%A6%8B
4	見分ける	みわける	to distinguish, to recognize, to recognise, to tell apart, to differentiate			http://jisho.org/word/%E8%A6%8B%E5%88%86%E3%81%91%E3%82%8B
4	かき氷	かきごおり	shaved ice (usually served with flavored simple syrup), Italian ice, snow cone, sno-cone	Kakigōri		http://jisho.org/word/%E3%81%8B%E3%81%8D%E6%B0%B7
4	太字	ふとじ	boldface, bold-type, thick characters	Emphasis (typography)		http://jisho.org/word/%E5%A4%AA%E5%AD%97
4	竹の子	たけのこ	bamboo shoot	inexperienced doctor, quack	Takanna	http://jisho.org/word/%E7%AB%B9%E3%81%AE%E5%AD%90
4	小皿	こざら	small dish			http://jisho.org/word/%E5%B0%8F%E7%9A%BF
4	一文字	いちもんじ	straight line, beeline			http://jisho.org/word/%E4%B8%80%E6%96%87%E5%AD%97
4	一本気	いっぽんぎ	single-minded (esp. personality or person), one-track mind			http://jisho.org/word/%E4%B8%80%E6%9C%AC%E6%B0%97
4	５００	ごひゃく	500, five hundred	many		http://jisho.org/word/%EF%BC%95%EF%BC%90%EF%BC%90
4	三世	さんせい	three generations	third generation immigrant, sansei	the third (e.g. Henry III)	http://jisho.org/word/%E4%B8%89%E4%B8%96
5	水色	みずいろ	light blue, pale blue, aqua	Aqua (color)		http://jisho.org/word/%E6%B0%B4%E8%89%B2
5	光年	こうねん	light-year	Light-year		http://jisho.org/word/%E5%85%89%E5%B9%B4
5	何回	なんかい	how many times			http://jisho.org/word/%E4%BD%95%E5%9B%9E
5	何千	なんぜん	many thousands			http://jisho.org/word/%E4%BD%95%E5%8D%83
5	近年	きんねん	recent years			http://jisho.org/word/%E8%BF%91%E5%B9%B4
5	本社	ほんしゃ	head office, main office, headquarters, parent company	main shrine	this company, this shrine	http://jisho.org/word/%E6%9C%AC%E7%A4%BE
5	仕草	しぐさ	gesture, movement, action, behavior, behaviour, bearing, mannerism	acting, performance		http://jisho.org/word/%E4%BB%95%E8%8D%89
5	古来	こらい	from time immemorial, ancient, time-honoured, time-honored			http://jisho.org/word/%E5%8F%A4%E6%9D%A5
5	体内	たいない	interior of the body			http://jisho.org/word/%E4%BD%93%E5%86%85
5	年来	ねんらい	for some years			http://jisho.org/word/%E5%B9%B4%E6%9D%A5
5	麦	むぎ	wheat, barley, oat (oats)			http://jisho.org/word/%E9%BA%A6
5	社内	しゃない	within a company, in-house	within a shrine, shrine precincts		http://jisho.org/word/%E7%A4%BE%E5%86%85
5	毎回	まいかい	every time, each round			http://jisho.org/word/%E6%AF%8E%E5%9B%9E
5	北西	ほくせい	northwest			http://jisho.org/word/%E5%8C%97%E8%A5%BF
5	同日	どうじつ	the same day			http://jisho.org/word/%E5%90%8C%E6%97%A5
5	大声	おおごえ	loud voice			http://jisho.org/word/%E5%A4%A7%E5%A3%B0
5	近日	きんじつ	soon, in a few days			http://jisho.org/word/%E8%BF%91%E6%97%A5
5	月光	げっこう	moonlight, moonbeam			http://jisho.org/word/%E6%9C%88%E5%85%89
5	今すぐ	いますぐ	at once, immediately, right now			http://jisho.org/word/%E4%BB%8A%E3%81%99%E3%81%90
5	何年	なんねん	how many years, how long	what year		http://jisho.org/word/%E4%BD%95%E5%B9%B4
5	何人	なんにん	how many people, a number of people			http://jisho.org/word/%E4%BD%95%E4%BA%BA
5	何日	なんにち	what day	how many days		http://jisho.org/word/%E4%BD%95%E6%97%A5
